I, [2016-03-01T10:56:28.137127 #8503]  INFO -- : Testing ----> [Log1 CMS] http://209.123.98.171:80/log1cms2.0/
I, [2016-03-01T10:56:28.271881 #8503]  INFO -- : Testing ----> [WikkaWiki] https://209.123.98.171:443/wikka/
I, [2016-03-01T10:56:28.519226 #8503]  INFO -- : Testing ----> [WikkaWiki] http://209.123.98.171:80/wikka/
I, [2016-03-01T10:56:28.645876 #8503]  INFO -- : Testing ----> [CuteFlow] https://209.123.98.171:443/cuteflow_v.2.11.2/
I, [2016-03-01T10:56:28.833505 #8503]  INFO -- : Testing ----> [CuteFlow] http://209.123.98.171:80/cuteflow_v.2.11.2/
I, [2016-03-01T10:56:28.962597 #8503]  INFO -- : Testing ----> [Apache Roller] https://209.123.98.171:443/roller
I, [2016-03-01T10:56:29.214859 #8503]  INFO -- : Testing ----> [Apache Roller] http://209.123.98.171:80/roller
I, [2016-03-01T10:56:29.348859 #8503]  INFO -- : Testing ----> [PhpTax pfilez] https://209.123.98.171:443/phptax/
I, [2016-03-01T10:56:29.632588 #8503]  INFO -- : Testing ----> [PhpTax pfilez] http://209.123.98.171:80/phptax/
I, [2016-03-01T10:56:29.756396 #8503]  INFO -- : Testing ----> [AjaXplorer] https://209.123.98.171:443/AjaXplorer-2.5.5/plugins/access.ssh/checkInstall.php
I, [2016-03-01T10:56:29.952344 #8503]  INFO -- : Testing ----> [AjaXplorer] http://209.123.98.171:80/AjaXplorer-2.5.5/plugins/access.ssh/checkInstall.php
I, [2016-03-01T10:56:30.084432 #8503]  INFO -- : Testing ----> [phpMyAdmin] https://209.123.98.171:443/phpmyadmin/
I, [2016-03-01T10:56:30.368965 #8503]  INFO -- : Testing ----> [phpMyAdmin] http://209.123.98.171:80/phpmyadmin/
I, [2016-03-01T10:56:30.487515 #8503]  INFO -- : Testing ----> [vTiger CRM] https://209.123.98.171:443/vtigercrm/index.php?action=index&module=Home
I, [2016-03-01T10:56:30.672621 #8503]  INFO -- : <<<Primary path {https://209.123.98.171:443/vtigercrm/index.php?action=index&module=Home} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:30.672678 #8503]  INFO -- : Testing ----> [vTiger CRM] https://209.123.98.171:443/vtigercrm/index.php?module=Settings&action=ModuleManager&parenttab=Settings
I, [2016-03-01T10:56:30.865209 #8503]  INFO -- : Testing ----> [vTiger CRM] http://209.123.98.171:80/vtigercrm/index.php?action=index&module=Home
I, [2016-03-01T10:56:31.001043 #8503]  INFO -- : <<<Primary path {http://209.123.98.171:80/vtigercrm/index.php?action=index&module=Home} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:31.001123 #8503]  INFO -- : Testing ----> [vTiger CRM] http://209.123.98.171:80/vtigercrm/index.php?module=Settings&action=ModuleManager&parenttab=Settings
I, [2016-03-01T10:56:31.121873 #8503]  INFO -- : Testing ----> [eXtplorer] https://209.123.98.171:443/com_extplorer_2.1.0/
